filename,condition,replicate,Sample.Name
MHLTCK_P2103_052-Mm_BALF_V_02_dia90min,V,2,Mm_BALF_V_02_dia90min
MHLTCK_P2103_053-Mm_BALF_V_03_dia90min,V,3,Mm_BALF_V_03_dia90min
MHLTCK_P2103_054-Mm_BALF_V_04_dia90min,V,4,Mm_BALF_V_04_dia90min
MHLTCK_P2103_056-Mm_BALF_TH_01_dia90min,TH,1,Mm_BALF_TH_01_dia90min
MHLTCK_P2103_057-Mm_BALF_TH_02_dia90min,TH,2,Mm_BALF_TH_02_dia90min
MHLTCK_P2103_058-Mm_BALF_TH_03_dia90min,TH,3,Mm_BALF_TH_03_dia90min
MHLTCK_P2103_036-Mm_BALF_B_03_dia90min,B,3,Mm_BALF_B_03_dia90min
MHLTCK_P2103_037-Mm_BALF_B_04_dia90min,B,4,Mm_BALF_B_04_dia90min
MHLTCK_P2103_040-Mm_BALF_BTH_01_dia90min,BTH,1,Mm_BALF_BTH_01_dia90min
MHLTCK_P2103_041-Mm_BALF_BTH_02_dia90min,BTH,2,Mm_BALF_BTH_02_dia90min
MHLTCK_P2103_042-Mm_BALF_BTH_03_dia90min,BTH,3,Mm_BALF_BTH_03_dia90min
MHLTCK_P2103_043-Mm_BALF_BTH_04_dia90min,BTH,4,Mm_BALF_BTH_04_dia90min
MHLTCK_P2103_044-Mm_BALF_BTH_05_dia90min,BTH,5,Mm_BALF_BTH_05_dia90min
MHLTCK_P2103_046-Mm_BALF_DEX_01_dia90min,DEX,1,Mm_BALF_DEX_01_dia90min
MHLTCK_P2103_047-Mm_BALF_DEX_02_dia90min,DEX,2,Mm_BALF_DEX_02_dia90min
MHLTCK_P2103_048-Mm_BALF_DEX_03_dia90min,DEX,3,Mm_BALF_DEX_03_dia90min
MHLTCK_P2103_049-Mm_BALF_DEX_04_dia90min,DEX,4,Mm_BALF_DEX_04_dia90min
MHLTCK_P2103_051-Mm_BALF_V_01_dia90min,V,1,Mm_BALF_V_01_dia90min
MHLTCK_P2103_059-Mm_BALF_TH_04_dia90min,TH,4,Mm_BALF_TH_04_dia90min
MHLTCK_P2103_034-Mm_BALF_B_01_dia90min,B,1,Mm_BALF_B_01_dia90min
MHLTCK_P2103_035-Mm_BALF_B_02_dia90min,B,2,Mm_BALF_B_02_dia90min
MHLTCK_P2103_038-Mm_BALF_B_05_dia90min,B,5,Mm_BALF_B_05_dia90min
